,sentence,label,data_type,preictions,references
193,"Section : Regional News - The demand in Finnair 's Asian traffic , measured in passenger kilometers , was up 34.9 % in August compare to last year .",2.0,val,2.0,1.0
205,The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 % .,2.0,val,2.0,1.0
208,Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago .,2.0,val,2.0,1.0
217,"EPS for the quarter came in at 0.36 eur , up from 0.33 eur a year ago and ahead of forecast of 0.33 eur .",2.0,val,2.0,1.0
225,"In January-September 2007 , the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 .",2.0,val,2.0,1.0
229,Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million .,2.0,val,2.0,1.0
231,Marimekko Group 's full-year net sales are estimated to increase by about 10 % .,2.0,val,2.0,1.0
237,Operating profit increased to EUR 14.0 mn from EUR 4.9 mn in the corresponding period in 2005 .,2.0,val,2.0,1.0
239,"Operating profit totaled EUR 825mn , up from EUR 763mn in 2004 .",2.0,val,2.0,1.0
241,Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board .,2.0,val,2.0,1.0
242,Profit for the period increased from EUR 2.9 mn to EUR 10.5 mn .,2.0,val,2.0,1.0
259,The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m .,2.0,val,2.0,1.0
272,Nokia Messaging 1.1 enables customers to receive e-mails from up to 10 e-mail accounts on their mobile phone supporting all POP or IMAP e-mail services .,1.0,val,2.0,1.0
275,Aldata said that there are still a number of operational aspects to be defined between it and Microsoft and further details of the product and market initiatives resulting from this agreement will be available at a later date .,1.0,val,2.0,1.0
277,"Biohit Oyj develops , manufactures and markets liquid handling products and diagnostic test systems for use in research , healthcare and industrial laboratories .",1.0,val,1.0,0.0
278,"Mr Ashley , deputy executive chairman of Sports Direct , sold a 43pc stake in the company for more than pounds 900m at the time of the float .",1.0,val,1.0,0.0
280,"Ruukki 's delivery includes steel structures , including installation , for Krakeroy bascule bridge and steel piles for the bridge foundations .",1.0,val,1.0,0.0
281,Stockmann was established in 1862 in Finland and it became the first foreign company to enter Russia 's retail trade market in 1989 .,1.0,val,1.0,0.0
298,"Uponor made an operating profit of EUR 151.0 mn , up from EUR 143.7 mn , which made 2007 a record year .",2.0,val,2.0,1.0
299,"Basware Corporation stock exchange release August 31 , 2010 at 16:25 Basware signed a large deal with an international industrial group Basware will deliver Invoice Automation solution and Connectivity Services to an international industrial group .",2.0,val,2.0,1.0
308,"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .",2.0,val,0.0,2.0
314,The bank sees a potential for Getinge share to rise .,2.0,val,2.0,1.0
316,The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .,2.0,val,1.0,0.0
318,"a January 11 , 2010 EPHC board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share .",2.0,val,1.0,0.0
330,8 May 2009 - Finnish liquid handling products and diagnostic test systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss narrowed to EUR0 .1 m ( USD0 .14 m ) for the first quarter of 2009 from EUR0 .4 m for the same period of 2008 .,2.0,val,1.0,0.0
355,"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 .",0.0,val,,
356,"ADPnews - Feb 5 , 2010 - Finnish real estate investor Sponda Oyj HEL : SDA1V said today that it slipped to a net loss of EUR 81.5 million USD 11.8 m in 2009 from a profit of EUR 29.3 million in 2008 .",0.0,val,,
359,"Profit before taxes decreased by 9 % to EUR 187.8 mn in the first nine months of 2008 , compared to EUR 207.1 mn a year earlier .",0.0,val,,
362,"The company 's profit before taxes fell to EUR 21.1 mn in the third quarter of 2008 , compared to EUR 35.8 mn in the corresponding period in 2007 .",0.0,val,,
368,"Profit after taxes for the period was up to EUR0 .9 m , from EUR0 .01 m last year .",2.0,val,,
372,"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri",0.0,val,,
375,"For the current year , Raute expects its net sales to increase and the operating result -- to be positive .",2.0,val,,
381,Cash Flow from Operations for the most recent quarter also reached a eight year low .,0.0,val,,
388,"Earnings per share EPS amounted to EUR0 .03 , up from the loss of EUR0 .08 .",2.0,val,,
390,"Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier .",2.0,val,,
399,"According to Viking Line 's Managing Director , Nils-Erik Eklund , the company 's Board of Directors is very satisfied with Viking Line 's performance .",2.0,val,,
410,The aim is an annual improvement in Ruukki Construction 's operating profit of more than EUR 3 million USD 4.1 m starting in 2009 .,2.0,val,,
413,`` The trend in the sports and leisure markets was favorable in the first months of the year .,2.0,val,,
427,"Finland 's national carrier Finnair PLC carried a record 8.5 million passengers in 2005 , an increase of 4.5 percent on the previous year , the airline reported Tuesday .",2.0,val,,
441,"Savon koulutuskuntayhtyma , Finland based company has awarded contract for specialist agricultural or forestry machinery .",2.0,val,,
463,Operating profit improved by 16.7 % to EUR 7.7 mn .,2.0,val,,
464,Operating profit improved by 39.9 % to EUR 18.0 mn from EUR12 .8 mn .,2.0,val,,
499,"Headquartered in this city , the company is nearly 75 years old and focuses on science-based innovation and technology for environmental measurement .",1.0,val,,
505,"Los Angeles-based Pacific Office Properties Trust acquires , owns , and operates office properties in the western U.S. , focusing initially on the markets of Honolulu , San Diego , Los Angeles , and Phoenix .",1.0,val,,
507,"Professional and consumer applications include personal navigation , personal safety , field and workflow management , and asset tracking .",1.0,val,,
515,"The inventors are Bylander Johan , Ponten Fredrik and Lundberg Jorgen .",1.0,val,,
516,"The inventors are Mukkavilli Krishna Kiran , Sabharwal Ashutosh and Aazhang Behnaam .",1.0,val,,
527,`` Directors and shareholders alike should ask why these practices were allowed to continue . '',1.0,val,,
534,"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .",1.0,val,,
539,Amanda said that it had already made a USD5 .0 m investment commitment in Russia Partners II fund in July 2005 .,1.0,val,,
544,"CapMan , an asset manager , has EUR 3bn worth of assets under management in the Nordic region .",1.0,val,,
551,Completion of the transaction is subject to a final agreement and a Due Diligence process .,1.0,val,,
555,"EQT has completed its exit from Salcomp , a Finnish company that makes mobile phone chargers , by selling its remaining stake to Swedish investment group Nordstjernan for about ( EURO ) 35 million ( $ 47 million ) .",1.0,val,,
564,Insurance policies should be simple .,1.0,val,,
567,It will provide heating in the form of hot water for the sawmill 's needs .,1.0,val,,
573,"LKAB , headquartered in Lulea , Sweden , is a high-tech mining company producing upgraded iron ore products for the steel industry .",1.0,val,,
597,"Swedish , Finnish and Danish listed companies are organized in three market cap segments , Nordic Large Cap , Mid Cap and Small Cap .",1.0,val,,
598,Symphony Services provides development services for Aldata GOLD .,1.0,val,,
603,"The business has sales of about ( Euro ) 35 million ( $ 44million ) , and has been responsible for sales and marketing of Lanxess 's paper chemicals business , which Kemira bought for ( Euro ) 88 million early this year ( CW , Jan. 11 , p. 22 ) .",1.0,val,,
606,The company is presently examining whether the project would be financially feasible .,1.0,val,,
622,The project is expected to be completed in 2009 .,1.0,val,,
627,The server is responsible for managing devices and user accounts and a desktop client application enables remote access to the mobile phones .,1.0,val,,
641,"Viking will pay EUR 130 million for the new ship , which will be completed in January 2008 .",1.0,val,,
647,A PLUMBING business has announced it is sponsoring a professional darts player .,1.0,val,,
648,"A. Le Coq Special was developed for the bicentenary of the company and the trade mark , the brewer said .",1.0,val,,
668,"LONDON AFX - UK and European brokers ' recommendations issued today , as collated by AFX News from a range of market sources .",1.0,val,,
672,Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,1.0,val,,
673,"New Delhi , July 17 -- Sahlberg Teppo , Kallio Timo and Mustonen Tuomas of M Real OYJ , Espoo , Finland have developed novel markings and methods of producing the same .",1.0,val,,
683,"SCOPI Chief Business Excellence Officer , Eng .",1.0,val,,
687,"Tekla will organize an information meeting for analysts and media at WTC Helsinki Marski meeting room , Aleksanterinkatu 17 , the same day at 12:30 - 1:30 p.m. Light lunch will be served .",1.0,val,,
691,"The company also appointed Leif Rosen head of the Special Plate unit which includes the quarto plate units in Degerfors , Sweden , and New Castle , USA , the unit in Willich , Germany , as well as Pressplate and Prefab in Avesta and Plate Service Centre Nordic in Degerfors .",1.0,val,,
704,The order was worth EUR 8mn .,1.0,val,,
714,"They are responsible for their own operations , customer relationships , and the development of these .",1.0,val,,
738,"Outotec said it won new orders worth 492.9 mln eur during the quarter , compared with 240.4 mln eur a year earlier .",2.0,val,,
739,Raute said it has won an order worth around 15 mln eur to supply several plywood production lines to mills operated by Russian wood products company Sveza Group .,2.0,val,,
745,Finnish KCI Konecranes has been awarded an order for four hot metal ladle cranes by Indian steel producer Bhushan Steel & Strips to be delivered in 2007 .,2.0,val,,
765,"The machine will have an annual production capacity of 200,000 tonnes of super-calendered magazine paper and other paper grades based on recovered fiber , Stora Enso said .",1.0,val,,
766,The Moscow Metro ( www.mosmetro.ru ) was the first metro system in Europe to implement smart cards together with a new type of magnetic card in 1998 .,1.0,val,,
773,"The process , technology , project management , basic engineering and quality assurance within Forest Industry will be consolidated in Vantaa , southern Finland .",1.0,val,,
777,"Sales climbed 19.2 pct to 1.002 bln eur , surpassing the 953 mln eur consensus figure .",2.0,val,,
781,"After the reporting period , BioTie North American licensing partner Somaxon Pharmaceuticals announced positive results with nalmefene in a pilot Phase 2 clinical trial for smoking cessation .",2.0,val,,
785,The agreement must be approved by the Russian competition authorities before it enters into force .,1.0,val,,
789,- Counter your competitor 's strengths and target their weaknesses .,1.0,val,,
792,"The Stena Poseidon is a so-called Panamax tanker , designed to be able to pass through the narrow passages in the Panama Canal 's locks .",1.0,val,,
801,"Fiskars , a 360-year-old global business best known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete .",2.0,val,,
814,Finnish Vacon has signed significant deals with Norwegian Scandinavian Electric Systems ( SES ) on the supply of AC drives .,2.0,val,,
822,in Q1 2010 18 May 2010 - Finnish electrical components maker Salcomp Oy ( HEL : SAL1V ) said today it turned to a net profit of EUR1 .6 m in the first quarter of 2010 versus a loss of EUR2m in the corresponding period last year .,2.0,val,,
833,"Neste oil 's board proposed 1.00 eur dividend for the full-year 2007 , compared with 0.90 eur a year ago .",2.0,val,,
839,"Pre-tax loss totaled EUR 0.3 mn , compared to a loss of EUR 2.2 mn in the first quarter of 2005 .",2.0,val,,
840,"Pretax profit totalled EUR 2.0 mn , compared to a loss of EUR 159.2 mn in the fourth quarter of 2008 .",2.0,val,,
851,"The fourth quarter saw Rapala swing back to a pretax profit of 1.5 mln eur from a year earlier loss of 1.2 mln on the back of a 30 pct uplift in sales to 44.8 mln eur , and a stronger performance in North America .",2.0,val,,
853,These measures are expected to produce annual cost savings of EUR 1.5 million starting in 2007 .,2.0,val,,
864,"Finnish dental care group Oral Hammaslaakarit Oyj posted a total net profit of 849,000 euro $ 1.1 mln in the first nine months of 2006 versus a net loss of 331,000 euro $ 421,000 in the same period of 2005 .",2.0,val,,
884,"The company 's net profit amounted to EE 55.5 mn , which was 36 % more than in 2004 .",2.0,val,,
894,Comptel Corporation will publish its financial statements for 2008 on 12 February 2009 .,1.0,val,,
905,He will report to CapMan Plc 's CEO Heikki Westerlund .,1.0,val,,
915,"A meeting for the media and analysts will be held on the same day at 10:30 a.m. at Stonesoft Headquarters in Helsinki , Italahdenkatu 22 A. The Interim report will be presented by Stonesoft 's CEO Ilkka Hiidenheimo .",1.0,val,,
916,A meeting of Glisten shareholders to vote on the bid will be held on 12 March .,1.0,val,,
917,"A replay will be available until 27 October 2006 in the following numbers : US callers : +1 617-á801-á6888 , non-US callers : +44 20 7365 8427 , access code : 2659 5401 .",1.0,val,,
918,"About 36 % of this came from Aspo Chemicals , 39 % from Aspo Shipping and 25 % from Aspo Systems .",1.0,val,,
927,"After the sale , Savcor Group Ltd will comprise Savcor ART , a corporate function and an investment in Cencorp Corporation .",1.0,val,,
943,Catalysts segment includes refinery catalysts and polyolefin catalysts product categories .,1.0,val,,
947,COPYRIGHT AFX News and AFX Financial News Logo are registered trademarks of AFX News Limited,1.0,val,,
950,"Currently the Terminator lures are produced in a subcontract facility in Mexico but the manufacturing will be transferred to Rapala 's factory in Shenzhen , China .",1.0,val,,
960,"Erkki Jarvinen , President of Rautakirja and the head of the Sanoma Trade division , will leave his current tasks in spring 2009 for a similar position outside the Sanoma Group .",1.0,val,,
966,"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",1.0,val,,
971,"Following the issue , the new shares will constitute 10 percent of the firm 's capital .",1.0,val,,
973,"Glaston 's share GLA1V is listed on the NASDAQ OMX Helsinki , Mid Cap List .",1.0,val,,
974,Grounds for the notification : Tiimari Plc 12/30/2010 issued Capital Convertible Loan allocation decision by the Board on 01/31/2011 .,1.0,val,,
979,"If Honkarakenne starts production there , it will need a partner for sawmill operations .",1.0,val,,
980,"In addition to the Tulikivi Corporation , he is also currently a member of the Board of the following companies : Altia Corporation , J+ñrvi-Suomen Portti Osuuskunta , Osuuskunta KPY , Profile Vehicles Oy and Voimatel Oy .",1.0,val,,
1010,"Poyry is a global consulting and engineering firm focusing on the energy , forest industry and infrastructure & environment sectors .",1.0,val,,
1022,"Seller is the Finnish Elcoteq Group , the largest European electronics manufacturing services company .",1.0,val,,
1023,Solteq Plc ANNOUNCEMENT 16.12.2010 SHARE REPURCHASE 16.12.2010 In the Helsinki Stock Exchange Solteq Plc now holds a total of 486.969 shares including the shares repurchased on 16.12.2010 .,1.0,val,,
1040,"The aim of the CEO 's Q&A sessions is to give further clarity on information , which has been made public already earlier .",1.0,val,,
1042,The bridge will be 1.2 km long and is located between Anasmotet by the road E20 and the new traffic junction in Marieholm by the road E45 .,1.0,val,,
1048,"The company offers payroll services , including payroll processing , payroll tax administration , and employee pay services , including direct deposit , check signing , and Readychex .",1.0,val,,
1051,The company 's board of directors will propose a dividend of EUR 0.14 for 2008 at the annual general meeting .,1.0,val,,
1056,The Company turnover amounted to MEUR 27.9 in 2007 .,1.0,val,,
1059,"The company will publish its financial statement for 2008 on February 25 , 2009 .",1.0,val,,
1064,The contract involves refurbishing the bathrooms of 189 units as well as re-plumbing their water and sewer pipes .,1.0,val,,
1065,"The cost of the deal could range from 70 million to 90 million euros depending on the financial results of the two companies in 2008 , the statement says .",1.0,val,,
1070,The deal will have no significant effect on the acquiring company 's equity ratio .,1.0,val,,
1077,The first stage of the contract covers 133 stores and 600 cash registers .,1.0,val,,
1078,"The fish content of the nuggets is 85 % , and the fish comes from Canada and Finland .",1.0,val,,
1081,"The inaugural speech will be given by Hannu Kyrolainen , Finland 's Ambassador to the Czech Republic .",1.0,val,,
1086,"The mall will be financed on a parity basis by Pearl Plaza LLC , the joint venture company established by the Chinese investor Shanghai Industrial Investment Holdings Co Ltd , and SRV Group .",1.0,val,,
1093,"The new majority owners of Aspocomp Thailand Co. , Ltd are certain private persons belonging to immediate circle of Aspocomp 's present Joint Venture partner , Saha Pathana Inter-Holding Plc. .",1.0,val,,
1100,"The parties have agreed not to disclose the price of the deal , the group said in a press release .",1.0,val,,
1103,"The platform is based built on Intel s second-generation MID platform , called Moorestown .",1.0,val,,
1128,ZAO YIT Moskovia builds housing in Moscow and its surrounding cities .,1.0,val,,
1162,"Alma Media Corporation PRESS RELEASE March 25 , 2010 TYRV+ä+äN SANOMAT PURCHASE CONFIRMED The business operations of Tyrv+ñ+ñn Sanomat Oy will be transferred to Suomen Paikallissanomat Oy .",1.0,val,,
1164,"Altona stated that the private company of Altona chairman Kevin Maloney , Tulla Resources , would take up its entitlement in full .",1.0,val,,
1177,"Barclays Plc ( LSE : BARC ) ( NYSE : BCS ) , Credit Agricole SA ( EPA : ACA ) ( CAGR .",1.0,val,,
1179,Basware finances the acquisition with a bank loan .,1.0,val,,
1186,"CapMan , with offices in Helsinki , Stockholm , Copenhagen and Oslo , manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EUR2 .6 bn in total capital .",1.0,val,,
1188,"Cardona slowed her vehicle , turned around and returned to the intersection , where she called 911 .",1.0,val,,
1189,"Cencorp would focus on the development , manufacture and marketing of standard products for production automation .",1.0,val,,
1195,com and possibly also through photo-msn .,1.0,val,,
1210,"Depending on the market situation , such projects are sold after 1 to 3 years after completion .",1.0,val,,
1221,Financial details were n't disclosed .,1.0,val,,
1231,"Fortum expects its annual capital expenditure in the next four to five years to be within a range of EUR 0.8-1 .2 billion , as earlier announced .",1.0,val,,
1245,Image data produced by the browser at the phone server is converted into a bitmapped image that is sent to the handset for display . '',1.0,val,,
1254,"In his current position , Manty has worked since 1996 .",1.0,val,,
1258,"In this way , the industry 's starting point has been the consumers ' needs .",1.0,val,,
1265,"industry in Asia +ó Pakistan , Malaysia , Taiwan and Philippines Today , Global Research & Data Services is going to publish several market analyses about the cement markets in Asia .",1.0,val,,
1271,It is expected to be online by 2011 .,1.0,val,,
1277,"Its product portfolio comprises harvesters , forwarders , harvester heads , as well as cranes and loaders .",1.0,val,,
1281,Kemira shares closed at (  x20ac ) 16.66 ( $ 22US .71 ) .,1.0,val,,
1289,( A spokesperson told WWD to expect a 50-50 mix of clothing and home decor . ),1.0,val,,
1291,"Luna took fifth place on six-under 207 , a shot behind Spain 's Beatriz Recari and Germany 's Martina Eberl , while Welsh player Becky Brewerton was the highest-placed British finisher , sharing seventh place on three-under 210 after shooting 71 .",1.0,val,,
1295,"May 29 , 2010 ( CompaniesandMarkets.com delivered by Newstex ) -- This report provides key data and information on the meat , fish and poultry market in Finland .",1.0,val,,
1297,"Mercator will use the software for its logistic , retail and wholesale operations in Slovenia and its other markets in southeastern Europe .",1.0,val,,
1303,Negotiations with representatives of the personnel regarding the restructuring process have now been ended .,1.0,val,,
1306,"Niina Nenonen , Marimekko 's current director for clothing , bags and accessories lines , will take up this role .",1.0,val,,
1315,NWC ANALYSIS :,1.0,val,,
1326,"OTHER  North-Rhine Westphalia - Is to issue a benchmark , 5 year fixed rate deal in Euros .",1.0,val,,
1327,Other details were not provided .,1.0,val,,
1330,Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland .,1.0,val,,
1344,"Rautalinko was resposnible also for Mobility Services , and his job in this division will be continued by Marek Hintze .",1.0,val,,
1345,"Retail chain Suomen L+ñhikauppa was given the index 5.8 , airline SAS 5.8 , TeliaSonera 's broadband 6.1 , German retail chain Lidl 6.1 , Tele Finland 's mobile subscriptions 6.1 , Tallink shipping line 6.3 , and power company Helsinki Energy 6.3 .",1.0,val,,
1374,"The acquisition was financed with $ 2.56 billion of debt arranged by Goldman , Sachs & Co. .",1.0,val,,
1375,"The Annual Report contains the financial statements , the consolidated financial statements , the report by the Board of Directors and the auditor 's report .",1.0,val,,
1381,The bond has a value of EUR150m and a maturity of 4 years .,1.0,val,,
1386,"The changes will take effect on 1 January 2010 , and they are not estimated to have an impact on the number of employees .",1.0,val,,
1391,The company did not disclose the price of the acquisition .,1.0,val,,
1396,"The company is headquartered in Sievi , Finland , and is listed on the Nordic Exchange in Helsinki .",1.0,val,,
1402,The company 's board of directors would propose a dividend of EUR1 .00 per share for 2005 .,1.0,val,,
1422,The CVs of the proposed members are available for viewing from 12 March 2008 onwards on the Internet at www.sampo.com/ir .,1.0,val,,
1431,"The facility will be used to refinance Citycon 's existing credit facility , the company said .",1.0,val,,
1434,The financial details of the transaction were not disclosed .,1.0,val,,
1436,The financial statements release will be available after publishing on the Company 's internet pages at www.cargotec.com .,1.0,val,,
1438,"The firm 's services include copying , printing , CAD-modelling , digital printing , scanning , SokoPro project bank and courier services .",1.0,val,,
1441,"The flagship will open this fall in Manhattan 's Flatiron District in the `` Toy Building , '' at 200 Fifth Avenue .",1.0,val,,
1457,"The market value of one crane is some USD6m , reported the Finnish news agency STT .",1.0,val,,
1459,"The maximum obligated total trades per day is ISK 400,000,000 market value .",1.0,val,,
1465,"The new company , DiaPol S.r.l. , would manufacture tools meant for glass and stone pre-processing .",1.0,val,,
1466,"The new Kroksberg railway tunnel will be built on a new section of track between Harnosand and Veda , forming part of the line that follows the coast of the Gulf of Bothnia .",1.0,val,,
1472,The online ice chart shows no ice in the area of Estonia 's sea ports on the coast of the Gulf of Finland .,1.0,val,,
1475,The order is related to renewing the network of the telecommunications operator .,1.0,val,,
1477,The passenger tunnel is expected to be put into operation in 2009 .,1.0,val,,
1478,The plant is expected to enter commercial operation by mid-2009 .,1.0,val,,
1485,The power generated annually by Loviisa covers about 10 % of Finland 's electricity consumption .,1.0,val,,
1492,The proposal that the Board of Directors will make at the Annual General Meeting is attached as a whole to this release .,1.0,val,,
1494,The reductions will be concluded by autumn 2010 .,1.0,val,,
1497,"The report profiles 158 companies including many key and niche players including major Nonwovens manufacturers such as Ahlstrom Corporation , Asahi Kasei Corporation , Buckeye Technologies , Inc. , EI .",1.0,val,,
1508,"The share capital of Biotie Therapies Corp. constitutes 90,211,860 shares in the aggregate and the number of voting rights attached to the shares amounts to 90,211,860 .",1.0,val,,
1509,The share subscription period for stock options 2007A is between 1 April 2010 and 31 March 2012 .,1.0,val,,
1518,"The total restructuring costs are expected to be about EUR 30mn , of which EUR 13.5 mn was booked in December 2008 .",1.0,val,,
1519,"The total size of the complex is around 25,000 m2 and the project will be constructed in stages .",1.0,val,,
1530,The value of the order is nearly EUR400m .,1.0,val,,
1551,This includes a EUR 39.5 mn change in the fair value of investment properties .,1.0,val,,
1568,"With five different game modes , co-op tournaments , 4 player split-screen and multiplayer modes , players can have as much fun as they would if they were actually fishing .",1.0,val,,
1570,"With this , the company will exit the contract manufacturing service segment .",1.0,val,,
1579,The company continued the development of a fully human antibody in its VAP-1 antibody program .,1.0,val,,
1585,`` This could be us .,1.0,val,,
1590,"A total of 15,000 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed between 17 and 23 March 2006 exercising the A-B-C options based on the company 's stock option plan 1999 .",1.0,val,,
1591,ABN : 59 087 901 620 now represent 5.10 % of the voting rights and share capital of Citycon Oyj .,1.0,val,,
1602,"Based in Helsinki , Finland , Ramirent has branches in 13 Nordic , central and Eastern European countries .",1.0,val,,
1608,Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices .,1.0,val,,
1615,"Componenta has production lines for similar-sized products at Karkkila in Finland , at Weert in the Netherlands and at Orhangazi in Turkey , and these had a combined output of approximately 100,000 tonnes and net sales of EUR 135 million in 2007 .",1.0,val,,
1620,"Currently Glaston employs approximately 1,500 persons .",1.0,val,,
