,response,label
437,Negative.,1
438,Negative.,1
439,Positive.,1
440,Positive.,1
441,Negative.,1
442,Positive,2
443,Positive,2
444,Negative.,1
445,Positive,2
446,neutral,1
447,Positive,2
448,Positive,2
449,Neutral.,1
450,Negative,0
451,neutral,1
452,Positive,2
453,Positive.,1
454,Positive,2
455,Negative,0
456,Positive.,1
457,Positive,2
458,Neutral.,1
459,Positive.,1
460,neutral,1
461,Positive.,1
462,neutral,1
463,Positive,2
464,Negative,0
465,positive,2
466,Positive,2
467,Positive,2
468,Negative,0
469,Positive,2
470,neutral,1
471,Negative,0
472,neutral,1
473,Positive,2
474,Positive,2
475,neutral,1
476,neutral,1
477,neutral,1
478,Positive,2
479,neutral,1
480,Positive.,1
481,neutral,1
482,neutral,1
483,Positive.,1
484,Positive,2
485,neutral,1
486,Positive,2
487,neutral,1
488,Positive.,1
489,Positive.,1
490,Positive.,1
491,Negative,0
492,Positive,2
493,positive,2
494,neutral,1
495,Positive.,1
496,negative,0
497,Positive.,1
498,neutral,1
499,Neutral.,1
500,Negative,0
501,Positive,2
502,neutral,1
503,Negative.,1
504,Neutral.,1
505,positive,2
506,neutral,1
507,Positive,2
508,neutral,1
509,Positive.,1
510,neutral,1
511,Positive.,1
512,Positive,2
513,neutral,1
514,neutral,1
515,Positive,2
516,neutral,1
517,Positive,2
518,neutral,1
519,Positive.,1
520,Positive,2
521,neutral,1
522,neutral,1
523,Negative.,1
524,Positive.,1
525,Negative.,1
526,Neutral.,1
527,Positive,2
528,neutral,1
529,neutral,1
530,Neutral,1
531,Positive.,1
532,Negative,0
533,Positive,2
534,Positive.,1
535,Negative.,1
536,Positive.,1
537,neutral,1
538,Positive,2
539,Positive.,1
540,Negative,0
541,Positive,2
542,Negative,0
543,Positive.,1
544,Positive.,1
545,Positive.,1
546,Negative,0
547,neutral,1
548,Positive,2
549,neutral,1
550,Neutral.,1
551,neutral,1
552,neutral,1
553,neutral,1
554,Positive,2
555,Negative,0
556,Positive,2
557,neutral,1
558,Negative,0
559,neutral,1
560,neutral,1
561,Positive,2
562,Positive,2
563,Negative,0
564,neutral,1
565,neutral,1
566,Positive,2
567,Positive.,1
568,Positive.,1
569,neutral,1
570,Positive,2
571,Negative,0
572,Positive,2
573,neutral,1
574,neutral,1
575,neutral,1
576,Negative.,1
577,neutral,1
578,Negative.,1
579,Positive.,1
580,neutral,1
581,Positive,2
582,neutral,1
583,Positive.,1
584,neutral,1
585,Positive,2
586,Positive.,1
587,neutral,1
588,NEUTRAL,1
589,neutral,1
590,Negative,0
591,Negative,0
592,neutral,1
593,neutral,1
594,neutral,1
595,neutral,1
596,Positive,2
597,positive,2
598,Positive.,1
599,positive,2
600,neutral,1
601,Positive,2
602,neutral,1
603,neutral,1
604,neutral,1
605,Negative,0
606,neutral,1
607,Positive,2
608,Positive,2
609,Positive,2
610,positive,2
611,neutral,1
612,Negative.,1
613,Positive,2
614,neutral,1
615,Positive.,1
616,Positive,2
617,neutral,1
618,Positive,2
619,Positive,2
620,Neutral.,1
621,Positive,2
622,Positive,2
623,Positive.,1
624,neutral,1
625,Negative,0
626,Neutral.,1
627,Positive,2
628,Negative.,1
629,Negative,0
630,neutral,1
631,neutral,1
632,Positive,2
633,Positive,2
634,Positive.,1
635,neutral,1
636,neutral,1
637,Neutral.,1
638,neutral,1
639,neutral,1
640,neutral,1
641,positive,2
642,Positive,2
643,Positive,2
644,neutral,1
645,neutral,1
646,Positive,2
647,Positive,2
648,neutral,1
649,neutral,1
650,Positive,2
651,neutral,1
652,Positive,2
653,neutral,1
654,Positive.,1
655,Positive.,1
656,Positive.,1
657,neutral,1
658,Negative.,1
659,neutral,1
660,Positive.,1
661,neutral,1
662,Positive.,1
663,Negative,0
664,Positive,2
665,Positive,2
666,Positive.,1
667,Positive.,1
668,Positive,2
669,Positive,2
670,Positive.,1
671,Positive,2
672,neutral,1
673,Positive,2
674,Positive.,1
675,Positive.,1
676,neutral,1
677,Positive,2
678,Negative,0
679,Positive.,1
680,Positive.,1
681,Negative,0
682,Negative,0
683,Negative.,1
684,Positive,2
685,Positive,2
686,neutral,1
687,Positive,2
688,Positive,2
689,neutral,1
690,Positive.,1
691,neutral,1
692,Positive.,1
693,Negative,0
694,Negative,0
695,neutral,1
696,neutral,1
697,neutral,1
698,Negative,0
699,Positive.,1
700,Positive,2
701,Positive,2
702,Neutral,1
703,neutral,1
704,Positive,2
705,Positive.,1
706,neutral,1
707,neutral,1
708,neutral,1
709,Positive.,1
710,Positive.,1
711,Negative,0
712,Negative,0
713,neutral,1
714,Negative,0
715,neutral,1
716,neutral,1
717,Positive,2
718,Negative.,1
719,Negative.,1
720,neutral,1
721,Positive,2
722,Neutral.,1
723,positive,2
724,Positive,2
725,Positive,2
726,neutral,1
727,Neutral.,1
728,Negative,0
729,Negative.,1
730,neutral,1
731,Positive,2
732,Positive.,1
733,Positive,2
734,positive,2
735,negative,0
736,neutral,1
737,Positive,2
738,neutral,1
739,Neutral,1
740,neutral,1
741,Neutral,1
742,Positive.,1
743,neutral,1
744,Negative,0
745,Positive,2
746,Negative.,1
747,Negative,0
748,Negative.,1
749,neutral,1
750,Positive.,1
751,Positive.,1
752,Positive.,1
753,neutral,1
754,neutral,1
755,Positive.,1
756,Positive.,1
757,Positive.,1
758,Positive,2
759,Negative.,1
760,neutral,1
761,Positive,2
762,neutral,1
763,Negative,0
764,Positive,2
765,neutral,1
766,neutral,1
767,neutral,1
768,Neutral.,1
769,neutral,1
770,neutral,1
771,Positive,2
772,Neutral.,1
773,neutral,1
774,Positive,2
775,neutral,1
776,Negative.,1
777,Neutral.,1
778,Positive,2
779,Positive,2
780,Positive,2
781,neutral,1
782,Positive,2
783,neutral.,1
784,Negative,0
785,Positive,2
786,neutral,1
787,Positive,2
788,Negative,0
789,neutral,1
790,Positive,2
791,Positive,2
792,Positive.,1
793,Positive,2
794,positive,2
795,neutral,1
796,neutral,1
797,Neutral.,1
798,Positive.,1
799,neutral,1
800,neutral,1
801,neutral,1
802,Positive.,1
803,neutral,1
804,negative,0
805,Negative,0
806,Positive.,1
807,neutral,1
808,neutral,1
809,Positive.,1
810,neutral.,1
811,Positive,2
812,Negative,0
813,neutral,1
814,Positive,2
815,neutral,1
816,Positive.,1
817,Neutral,1
818,Positive.,1
819,Positive,2
820,negative,0
821,Positive.,1
822,neutral,1
823,Positive,2
824,Negative,0
825,Positive.,1
826,Negative,0
827,neutral,1
828,Positive,2
829,Positive,2
830,neutral,1
831,Positive.,1
832,Positive.,1
833,Negative,0
834,Positive.,1
835,Positive,2
836,neutral,1
837,Positive.,1
838,Neutral.,1
839,Positive,2
840,neutral,1
841,neutral,1
842,Negative,0
843,Positive,2
844,neutral,1
845,Positive.,1
846,Negative.,1
847,positive,2
848,Positive,2
849,Positive.,1
850,positive,2
851,neutral,1
852,neutral,1
853,Positive.,1
854,neutral,1
855,neutral,1
856,Negative,0
857,neutral,1
858,neutral,1
859,neutral,1
860,Positive,2
861,Positive.,1
862,neutral,1
863,positive,2
864,Positive,2
865,Positive,2
866,Negative,0
867,Positive,2
868,neutral,1
869,Positive,2
870,Positive.,1
871,Negative.,1
872,Positive,2
873,neutral,1
874,Positive,2
875,Positive,2
876,Positive,2
877,neutral,1
878,neutral,1
879,neutral,1
880,neutral,1
881,Negative,0
882,Positive.,1
883,Positive,2
884,Positive,2
885,Negative.,1
886,Positive.,1
887,Positive,2
888,neutral,1
889,neutral,1
890,Negative,0
891,Positive,2
892,neutral,1
893,Positive,2
894,Neutral.,1
895,neutral,1
896,Negative.,1
897,neutral,1
898,neutral,1
899,Positive,2
900,neutral,1
901,neutral,1
902,Positive,2
903,Positive,2
904,Negative,0
905,Negative.,1
906,Positive,2
907,Positive,2
908,Positive,2
909,Neutral.,1
910,Negative.,1
911,neutral,1
912,neutral,1
913,neutral,1
914,neutral,1
915,neutral,1
916,neutral,1
917,neutral,1
918,Positive.,1
919,neutral,1
920,Positive,2
921,neutral,1
922,Positive,2
923,Positive,2
924,Positive,2
925,neutral,1
926,Positive,2
927,neutral,1
928,Positive,2
929,Negative,0
930,Positive,2
931,positive,2
932,neutral,1
933,Positive.,1
934,Positive.,1
935,Negative,0
936,Positive.,1
937,neutral,1
938,neutral,1
939,Positive,2
940,Positive,2
941,Positive,2
942,Negative.,1
943,Positive,2
944,Positive,2
945,neutral.,1
946,neutral,1
947,neutral,1
948,neutral,1
949,Positive,2
950,Positive.,1
951,Neutral.,1
952,neutral,1
953,Positive.,1
954,neutral,1
955,Positive.,1
956,neutral,1
957,neutral.,1
958,Positive.,1
959,Positive,2
960,Positive,2
961,neutral,1
962,Positive,2
963,Positive,2
964,Positive,2
965,Positive.,1
966,Negative.,1
967,Positive,2
968,Positive,2
969,Neutral.,1
970,Negative.,1
971,neutral,1
972,Positive,2
973,Positive,2
974,neutral,1
975,neutral,1
976,Negative.,1
977,Positive,2
978,neutral,1
979,Positive,2
980,Positive.,1
981,neutral,1
982,Positive,2
983,Positive,2
984,Positive,2
985,Negative,0
986,neutral,1
987,Positive.,1
988,Positive,2
989,Positive,2
990,Positive,2
991,Positive,2
992,Negative.,1
993,Neutral.,1
994,Positive,2
995,Positive,2
996,Positive,2
997,Positive,2
998,Positive.,1
999,Neutral.,1
1000,neutral,1
1001,neutral,1
1002,Positive,2
1003,Positive,2
1004,Positive.,1
1005,positive,2
1006,Negative,0
1007,neutral,1
1008,neutral,1
1009,Positive,2
1010,neutral,1
1011,Positive,2
1012,neutral,1
1013,neutral,1
1014,Positive,2
1015,Positive.,1
1016,Neutral,1
1017,neutral,1
1018,neutral,1
1019,neutral,1
1020,Positive,2
1021,Neutral,1
1022,neutral,1
1023,neutral,1
1024,Positive,2
1025,neutral,1
1026,neutral,1
1027,neutral,1
1028,Positive.,1
1029,Positive,2
1030,neutral,1
1031,neutral,1
1032,Positive,2
1033,neutral,1
1034,Positive.,1
1035,neutral,1
1036,Positive,2
1037,Positive.,1
1038,neutral,1
1039,neutral,1
1040,Positive,2
1041,Positive,2
1042,Negative,0
1043,Positive,2
1044,Negative,0
1045,neutral,1
1046,neutral,1
1047,Negative,0
1048,Positive,2
1049,neutral,1
1050,Positive,2
1051,Negative.,1
1052,Positive,2
1053,Positive,2
1054,neutral,1
1055,neutral,1
1056,Positive,2
1057,Positive,2
1058,Positive,2
1059,Positive,2
1060,neutral,1
1061,Positive,2
1062,Positive.,1
1063,neutral,1
1064,Negative.,1
1065,Neutral.,1
1066,Neutral,1
1067,Positive,2
1068,Positive.,1
1069,neutral,1
1070,Positive,2
1071,neutral,1
1072,Positive,2
1073,Positive,2
1074,neutral,1
1075,Negative,0
1076,Positive,2
1077,Positive,2
1078,neutral,1
1079,Negative.,1
1080,Negative.,1
1081,Negative,0
1082,neutral,1
1083,neutral,1
1084,Positive,2
1085,Negative.,1
1086,neutral,1
1087,Neutral.,1
1088,neutral,1
1089,Negative,0
1090,Positive,2
1091,Positive,2
1092,Positive.,1
1093,Negative.,1
1094,Positive,2
1095,neutral,1
1096,neutral,1
1097,Negative,0
1098,neutral,1
1099,positive,2
1100,Positive.,1
1101,neutral,1
1102,neutral,1
1103,Positive,2
1104,Positive,2
1105,Positive,2
1106,neutral,1
1107,Negative.,1
1108,Positive,2
1109,neutral,1
1110,positive,2
1111,neutral,1
1112,Positive,2
1113,Positive,2
1114,Positive,2
1115,Negative.,1
1116,Positive,2
1117,neutral,1
1118,Positive.,1
1119,Negative.,1
1120,Positive,2
1121,Positive,2
1122,Positive,2
1123,Neutral.,1
1124,Positive.,1
1125,neutral,1
1126,Positive.,1
1127,neutral,1
1128,Positive.,1
1129,neutral,1
1130,Positive,2
1131,Positive,2
1132,Positive,2
1133,Positive.,1
1134,Positive,2
1135,Positive,2
1136,neutral,1
1137,neutral,1
1138,Negative,0
1139,Positive,2
1140,neutral,1
1141,neutral,1
1142,Positive.,1
1143,Positive,2
1144,neutral,1
1145,negative,0
1146,Positive.,1
1147,Positive,2
1148,Neutral.,1
1149,Positive,2
1150,Positive,2
1151,neutral,1
1152,neutral,1
1153,Positive,2
1154,neutral,1
1155,Positive,2
1156,Positive.,1
1157,Negative,0
1158,Negative,0
1159,Positive.,1
1160,Negative,0
1161,Negative,0
1162,neutral,1
1163,neutral,1
1164,Negative,0
1165,Negative,0
1166,neutral,1
1167,Positive.,1
1168,neutral,1
1169,positive,2
1170,Negative,0
1171,Positive,2
1172,Positive,2
1173,Negative.,1
1174,neutral,1
1175,Positive,2
1176,Negative,0
1177,neutral,1
1178,neutral,1
1179,Neutral.,1
1180,Positive,2
1181,Positive,2
1182,positive,2
1183,Positive,2
1184,neutral,1
1185,neutral,1
1186,neutral,1
1187,Positive,2
1188,neutral,1
1189,Positive.,1
1190,Negative.,1
1191,Positive,2
1192,Positive,2
1193,Negative,0
1194,Positive,2
1195,neutral,1
1196,Neutral.,1
1197,Positive.,1
1198,Positive,2
1199,neutral,1
1200,neutral,1
1201,neutral,1
1202,Positive.,1
1203,neutral,1
1204,neutral,1
1205,neutral,1
1206,Neutral.,1
1207,neutral,1
1208,neutral,1
1209,neutral,1
1210,Positive.,1
1211,positive,2
1212,Positive.,1
1213,Negative,0
1214,Positive,2
1215,Positive,2
1216,Positive,2
1217,neutral,1
1218,neutral,1
1219,neutral,1
1220,neutral,1
1221,neutral.,1
1222,neutral,1
1223,Positive.,1
1224,Positive.,1
1225,neutral,1
1226,neutral,1
1227,Positive,2
1228,Positive.,1
1229,neutral,1
1230,Positive,2
1231,Positive,2
1232,Positive,2
1233,Positive.,1
1234,neutral,1
1235,Positive.,1
1236,Positive,2
1237,Positive.,1
1238,Positive,2
1239,neutral,1
1240,neutral,1
1241,neutral,1
1242,Positive,2
1243,Positive,2
1244,Negative,0
1245,neutral,1
1246,Positive,2
1247,neutral,1
1248,Positive,2
1249,neutral,1
1250,Positive.,1
1251,Positive,2
1252,Positive,2
1253,Positive,2
1254,Positive,2
1255,neutral,1
1256,neutral,1
1257,Positive,2
1258,Negative.,1
1259,Positive.,1
1260,Positive,2
1261,neutral,1
1262,Negative,0
1263,Positive,2
1264,Positive.,1
1265,Positive,2
1266,Positive.,1
1267,Negative.,1
1268,neutral,1
1269,neutral,1
1270,Positive.,1
1271,neutral,1
1272,neutral,1
1273,Positive.,1
1274,neutral,1
1275,Negative,0
1276,Positive,2
1277,Positive,2
1278,neutral,1
1279,Positive,2
1280,neutral,1
1281,Positive,2
1282,Positive,2
1283,neutral.,1
1284,neutral,1
1285,Positive,2
1286,neutral,1
1287,Negative,0
1288,Positive,2
1289,Positive,2
1290,Negative,0
1291,Negative,0
1292,neutral,1
1293,Positive.,1
1294,Positive,2
1295,neutral,1
1296,Positive,2
1297,Positive.,1
1298,Positive,2
1299,neutral,1
1300,Positive,2
1301,neutral,1
1302,Positive,2
1303,Negative.,1
1304,Positive,2
1305,Positive,2
1306,Negative.,1
1307,neutral,1
1308,neutral,1
1309,Positive.,1
1310,Positive,2
1311,neutral,1
1312,neutral,1
1313,neutral,1
1314,Positive.,1
1315,Positive,2
1316,neutral,1
1317,Positive.,1
1318,neutral,1
1319,neutral,1
1320,Negative,0
1321,Negative,0
1322,Positive,2
1323,Positive,2
1324,Positive,2
1325,Negative,0
1326,neutral,1
1327,Positive,2
1328,Negative.,1
1329,neutral,1
1330,Positive,2
1331,Negative,0
1332,Positive,2
1333,Neutral.,1
1334,Positive.,1
1335,neutral,1
1336,neutral,1
1337,Positive,2
1338,Negative,0
1339,Positive,2
1340,Negative,0
1341,Positive,2
1342,Negative,0
1343,Negative.,1
1344,Neutral.,1
1345,Positive,2
1346,Positive,2
1347,Negative.,1
1348,Negative.,1
1349,neutral,1
1350,Negative,0
1351,Positive,2
1352,neutral,1
1353,Positive,2
1354,Positive.,1
1355,Neutral.,1
1356,neutral,1
1357,Negative.,1
1358,Positive.,1
1359,Negative.,1
1360,positive,2
1361,Positive,2
1362,Positive,2
1363,neutral,1
1364,neutral,1
1365,neutral,1
1366,Positive.,1
1367,Positive,2
1368,Positive,2
1369,neutral,1
1370,Positive,2
1371,Positive,2
1372,Positive.,1
1373,neutral,1
1374,Positive,2
1375,Positive,2
1376,Positive,2
1377,neutral,1
1378,Negative.,1
1379,Negative.,1
1380,neutral,1
1381,Positive.,1
1382,Positive,2
1383,neutral,1
1384,Positive,2
1385,Negative.,1
1386,neutral,1
1387,Positive,2
1388,Positive,2
1389,neutral,1
1390,Negative.,1
1391,neutral,1
1392,Positive,2
1393,neutral,1
1394,Positive,2
1395,neutral,1
1396,neutral,1
1397,Positive.,1
1398,neutral,1
1399,neutral,1
1400,neutral,1
1401,Positive,2
1402,neutral,1
1403,Positive,2
1404,Negative,0
1405,neutral,1
1406,Negative,0
1407,neutral,1
1408,Negative,0
1409,neutral,1
1410,neutral,1
1411,Positive,2
1412,Positive.,1
1413,Negative,0
1414,neutral,1
1415,Positive,2
1416,neutral,1
1417,neutral,1
1418,neutral,1
1419,neutral,1
1420,neutral,1
1421,Positive,2
1422,Negative,0
1423,neutral,1
1424,Positive,2
1425,Positive.,1
1426,Positive.,1
1427,Positive,2
1428,Positive,2
1429,Positive,2
1430,Positive,2
1431,Positive,2
1432,Positive,2
1433,neutral,1
1434,Positive.,1
1435,neutral,1
1436,Positive,2
1437,neutral,1
1438,neutral,1
1439,neutral,1
1440,Neutral.,1
1441,Negative.,1
1442,Positive.,1
1443,neutral,1
1444,Positive.,1
1445,Positive.,1
1446,Positive,2
1447,neutral,1
1448,Positive,2
1449,Negative,0
1450,neutral,1
1451,neutral,1
1452,negative,0
1453,neutral,1
1454,Negative,0
1455,neutral.,1
1456,Positive,2
1457,Positive.,1
1458,Positive,2
1459,neutral,1
1460,Positive.,1
1461,neutral,1
1462,Negative.,1
1463,Negative.,1
1464,Positive,2
1465,neutral,1
1466,neutral,1
1467,neutral.,1
1468,Positive,2
1469,neutral,1
1470,Positive.,1
1471,neutral,1
1472,Positive,2
1473,Positive,2
1474,Positive,2
1475,neutral,1
1476,Positive.,1
1477,neutral,1
1478,Positive,2
1479,Positive,2
1480,Negative,0
1481,neutral,1
1482,Positive,2
1483,Neutral.,1
1484,Positive.,1
1485,Positive,2
1486,Positive.,1
1487,Positive.,1
1488,Positive,2
1489,Positive,2
1490,Positive,2
1491,Positive.,1
1492,neutral,1
1493,Negative.,1
1494,neutral,1
1495,Negative,0
1496,Positive,2
1497,Negative.,1
1498,Positive.,1
1499,neutral,1
1500,Positive,2
1501,Negative.,1
1502,Negative.,1
1503,neutral,1
1504,Positive,2
1505,neutral,1
1506,neutral,1
1507,Positive,2
1508,neutral,1
1509,neutral,1
1510,neutral,1
1511,positive,2
1512,Positive.,1
1513,neutral,1
1514,neutral,1
1515,Negative,0
1516,Neutral.,1
1517,Positive,2
1518,Positive,2
1519,Positive.,1
1520,neutral,1
1521,Negative,0
1522,Positive.,1
1523,Positive.,1
1524,Negative.,1
1525,Positive,2
1526,Positive,2
1527,Positive.,1
1528,neutral,1
1529,neutral,1
1530,neutral,1
1531,Positive,2
1532,Positive,2
1533,Positive.,1
1534,Positive,2
1535,Positive,2
1536,neutral,1
1537,Neutral.,1
1538,Positive.,1
1539,neutral,1
1540,Negative,0
1541,Positive,2
1542,neutral,1
1543,neutral,1
1544,neutral,1
1545,neutral,1
1546,Positive.,1
1547,Positive,2
1548,neutral,1
1549,Negative.,1
1550,Positive.,1
1551,neutral,1
1552,neutral,1
1553,neutral,1
1554,Positive,2
1555,Positive,2
1556,Positive,2
1557,neutral,1
1558,Positive,2
1559,Negative.,1
1560,Positive.,1
1561,Negative,0
1562,neutral,1
1563,Positive,2
1564,Positive,2
1565,Positive.,1
1566,neutral,1
1567,Positive,2
1568,neutral,1
1569,neutral,1
1570,Positive,2
1571,neutral,1
1572,neutral,1
1573,Positive,2
1574,neutral,1
1575,Positive,2
1576,Positive,2
1577,neutral,1
1578,Positive.,1
1579,Positive,2
1580,Negative.,1
1581,Positive,2
1582,Positive,2
1583,neutral,1
1584,Positive,2
1585,Positive,2
1586,neutral,1
1587,neutral,1
1588,neutral,1
1589,neutral.,1
1590,Negative,0
1591,Negative.,1
1592,neutral,1
1593,neutral,1
1594,Positive,2
1595,Positive,2
1596,neutral,1
1597,Neutral.,1
1598,Positive.,1
1599,Positive.,1
1600,Positive,2
1601,Positive,2
1602,neutral,1
1603,Positive,2
1604,neutral,1
1605,neutral,1
1606,Positive,2
1607,Positive,2
1608,Positive,2
1609,neutral,1
1610,neutral,1
1611,neutral,1
1612,Positive,2
1613,neutral,1
1614,neutral,1
1615,Negative.,1
1616,Positive,2
